   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11252    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2933    0.003    0.000    0.006    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/target_extension.py:53(get_local_target)
     6968    0.003    0.000    0.022    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/base.py:1249(exit_fn)
       29    0.003    0.000    0.003    0.000 {built-in method posix.open}
     6968    0.003    0.000    0.021    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/base.py:1246(enter_fn)
    16878    0.003    0.000    0.003    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    16883    0.003    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
     2614    0.003    0.000    0.010    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/abstract.py:49(_intern)
      386    0.003    0.000    0.034    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
26332/24651    0.003    0.000    0.004    0.000 {built-in method builtins.hash}
     1681    0.003    0.000    0.019    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/value.py:220(is_declaration)
    16878    0.003    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:533(_swapaxes_dispatcher)
     2911    0.002    0.000    0.008    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typeconv/castgraph.py:39(insert)
    16878    0.002    0.000    0.002    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
    16878    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/shape_base.py:263(_apply_along_axis_dispatcher)
     8439    0.002    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/linalg/linalg.py:140(isComplexType)
     5626    0.002    0.000    0.214    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/windows/_windows.py:1036(hamming)
    16880    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/numeric.py:63(_zeros_like_dispatcher)
     5626    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/windows/_windows.py:17(_len_guards)
      364    0.002    0.000    0.164    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
     1097    0.002    0.000    0.035    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/extending.py:129(decorate)
      665    0.002    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/functools.py:35(update_wrapper)
4543/4289    0.002    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/types/abstract.py:124(__eq__)
     4064    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:72(<dictcomp>)
